sample_id,geo_accession,disease_group,region,severity_code,disease_group_detailed,primary_label
sample_01,GSM4871112,healthy control,macula,0,Control,control
sample_10,GSM4871113,healthy control,macula,0,Control,control
sample_02,GSM4871123,healthy control,macula,0,Control,control
sample_03,GSM4871134,healthy control,macula,0,Control,control
sample_04,GSM4871145,healthy control,macula,0,Control,control
sample_05,GSM4871155,healthy control,macula,0,Control,control
sample_06,GSM4871166,healthy control,macula,0,Control,control
sample_61,GSM4871168,NPDR/PDR + DME,macula,3,NPDR + DME,case
sample_62,GSM4871169,NPDR/PDR + DME,macula,3,NPDR + DME,case
sample_63,GSM4871170,NPDR/PDR + DME,macula,3,PDR + DME,case
sample_64,GSM4871171,NPDR/PDR + DME,macula,3,PDR + DME,case
sample_65,GSM4871172,NPDR/PDR + DME,macula,3,NPDR + DME,case
sample_66,GSM4871173,NPDR/PDR + DME,macula,3,NPDR + DME,case
sample_67,GSM4871174,NPDR/PDR + DME,macula,3,NPDR + DME,case
sample_68,GSM4871175,NPDR/PDR + DME,macula,3,PDR + DME,case
sample_69,GSM4871176,NPDR/PDR + DME,macula,3,NPDR + DME,case
sample_07,GSM4871177,healthy control,macula,0,Control,control
sample_70,GSM4871178,NPDR/PDR + DME,macula,3,NPDR + DME,case
sample_08,GSM4871188,healthy control,macula,0,Control,control
sample_09,GSM4871190,healthy control,macula,0,Control,control
