cell_type,rho,pvalue,padj
Activated_B_cell,0.06339404315822846,0.7031061382238692,0.813693899595386
Activated_CD4_T_cell,-0.04452273262806063,0.7891599993907614,0.8498646147285123
Activated_CD8_T_cell,-0.08972347641289376,0.5888378285841647,0.7494299636525732
Activated_dendritic_cell,0.24306699970294013,0.1327120929088088,0.41265509946464457
CD56bright_natural_killer_cell,-0.14758042845748015,0.37063427597729737,0.576542207075796
CD56dim_natural_killer_cell,-0.22521270590793105,0.16547031017332325,0.41265509946464457
Central_memory_CD4_T_cell,0.1756048896040767,0.28450211094639455,0.49787869415619046
Central_memory_CD8_T_cell,-0.06949614356918093,0.6759562834755879,0.813693899595386
Effector_memory_CD4_T_cell,0.2464570554868026,0.12705772784730351,0.41265509946464457
Effector_memory_CD8_T_cell,-0.21730257574558526,0.18163631153400095,0.41265509946464457
Eosinophil,-0.058195957622972645,0.7265124103530232,0.813693899595386
Gamma_delta_T_cell,0.02971948903852778,0.8584121981851718,0.8902052425624004
Immature_B_cell,0.2943698438987257,0.06458705216159455,0.38356480677253496
Immature_dendritic_cell,-0.1315341644138644,0.42596113830484716,0.6277322038176695
MDSC,0.21266949950763986,0.19158986760858498,0.41265509946464457
Macrophage,0.31990826413715645,0.04277355947941541,0.38356480677253496
Mast_cell,0.424434984139583,0.004915665478180786,0.13763863338906202
Memory_B_cell,-0.2905277806770149,0.06849371549509553,0.38356480677253496
Monocyte,-0.271543468287385,0.09048052961275044,0.41265509946464457
Natural_killer_T_cell,0.013786226854374103,0.9340700286512225,0.9340700286512226
Natural_killer_cell,0.1999002893884245,0.22091116821698975,0.42881841399793735
Neutrophil,0.37889523477636367,0.014028552424471208,0.1963997339425969
Plasmacytoid_dendritic_cell,0.23560887697844266,0.14577911338835636,0.41265509946464457
Regulatory_T_cell,0.22396968545384813,0.16794218884157064,0.41265509946464457
T_follicular_helper_cell,0.19628422988563785,0.22972415035603788,0.42881841399793735
Type_17_T_helper_cell,0.10373570698619201,0.5314523997473939,0.7440333596463514
Type_1_T_helper_cell,0.16916378361473797,0.3030923593726518,0.49921094484907347
Type_2_T_helper_cell,-0.09198351360213541,0.5794072087157478,0.7494299636525732
