sample_id,PC1,PC2
sample_01,3.837628,3.951735
sample_10,3.81308,3.94154
sample_02,3.791085,3.959681
sample_21,3.843303,3.952258
sample_22,3.807018,3.971198
sample_23,3.806939,3.963802
sample_24,3.810609,3.969032
sample_25,3.854901,3.940979
sample_26,3.815893,3.935406
sample_27,3.869282,3.9658
sample_28,3.91279,3.939256
sample_29,3.809491,3.944718
sample_03,3.831549,3.921002
sample_30,3.844868,3.938304
sample_04,3.804586,3.982946
sample_41,3.830486,3.965426
sample_42,3.805071,3.958037
sample_43,3.829587,3.94523
sample_44,3.773599,3.96754
sample_46,3.838069,3.970141
sample_47,3.802382,3.933838
sample_48,3.875715,3.967121
sample_49,3.840738,3.954715
sample_05,3.870127,3.962098
sample_50,3.83513,3.938829
sample_06,3.817337,3.938817
sample_61,3.79877,3.962596
sample_62,3.893803,3.964458
sample_63,3.858172,3.928239
sample_64,3.895047,3.969912
sample_66,3.870954,3.936772
sample_67,3.844766,3.956346
sample_68,3.852181,3.923291
sample_69,3.892991,3.92837
sample_07,3.791774,3.934468
sample_70,3.804232,3.948584
sample_08,3.853527,3.956664
sample_09,3.780654,3.955797
